silname,newname
LtnSupSmZCurlDep,zcurlmoddep
LtnSupSmZDep,zmoddep
ModAcuteAccentDep,secondtonechinesedep
ModChinantecTnMrkDotHorizBarDep,dothorizontalbarmoddep
ModChinantecTnMrkDotSlashDep,dotslashmoddep
ModChinantecTnMrkDotVertBarDep,dotverticalbarmoddep
ModChinantecTnMrkLowRtCornerDep,lowerrightcorneranglemoddep
ModGlottalStopDep,glottalstopmoddep
ModGraveAccentDep,fourthtonechinesedep
ModLowCircumDep,lowcircumflexmoddep
ModLowColonDep,colonmoddep
ModRaisedDwnArrwDep,raiseddownarrowmoddep
ModRaisedExclamationMrkDep,raisedexclamationmarkmoddep
ModRaisedInvExclamationMrkDep,raisedinvertedexclamationmarkmoddep
ModRaisedUpArrwDep,raiseduparrowmoddep
ModShortEqSgnDep,shortequalmoddep
ModSmCapIStrkDep,IstrokeSmallmoddep
ModSmCapLDep,Lsmallmoddep
ModSmCapNDep,Nsmallmodifierdep
ModSmCapUDep,Usmallmoddep
ModSmCDep,cmoddep
ModSmEthDep,ethmoddep
ModSmHStrkDep,hbarmoddep
ModSmIotaDep,iotamoddep
ModSmJCrossedTailDep,jcrossedtailmoddep
ModSmLPalHookDep,lpalatalhookmoddep
ModSmMHookDep,mhookmoddep
ModSmNRetrHookDep,nretroflexhookmoddep
ModSmPhiDep,phiModifierdep-latin
ModSmSHookDep,shookmoddep
ModSmThetaDep,thetamoddep
ModSmTPalHookDep,tpalatalhookmoddep
ModSmTurnedHDep,hturnedmoddep
ModSmTurnedYDep,yturnedmoddep
ModSmVHookDep,vhookmoddep
ModSmZRetrHookDep,zretroflexhookmoddep
ModTnYangPingDep,chineseToneYangPingmoddep
ModTnYangQuDep,chineseToneYangQumoddep
ModTnYangRuDep,chineseToneYangRumoddep
ModTnYangShangDep,chineseToneYangShangmoddep
ModTnYinPingDep,chineseToneYinPingmoddep
ModTnYinQuDep,chineseToneYinQumoddep
ModTnYinRuDep,chineseToneYinRumoddep
ModTnYinShangDep,chineseToneYinShangmoddep
ModVertLineDep,verticallinemoddep
ModVoicingDep,voicingmoddep
SqrTxtBracLowLftDep,leftFloordep
SqrTxtBracLowRtDep,rightFloordep






