glyph_name,ps_name,sort_final_cdg,sort_final_a,assoc_feat_cdg,assoc_feat_a,assoc_feat_val,assoc_uids_cdg,assoc_uids_a,temp_usv,glyphsapp_name,to_review
VulgFracFourFifths.Open,uni2158.Open,34450.11,34450.11,,cv04,,,2158,,fourfifths.Open,
VulgFracFiveSixths.Diag,uni215A.Diag,34560.11,34560.11,,cv06,,,215A,,fivesixths.Diag,
VulgFracSevenEighths.Bar,seveneighths.Bar,34780.11,34780.11,,cv07,,,215E,,seveneighths.Bar,
LftParen.sc,parenleft.sc,40011,40011,smcp,smcp,,0028,0028,,parenleft.sc,
RtParen.sc,parenright.sc,40012,40012,smcp,smcp,,0029,0029,,parenright.sc,
LftSqrBrac.sc,bracketleft.sc,40062,40062,smcp,smcp,,005B,005B,,bracketleft.sc,
RtSqrBrac.sc,bracketright.sc,40064,40064,smcp,smcp,,005D,005D,,bracketright.sc,
LftCurlyBrac.sc,braceleft.sc,40094,40094,smcp,smcp,,007B,007B,,braceleft.sc,
RtCurlyBrac.sc,braceright.sc,40096,40096,smcp,smcp,,007D,007D,,braceright.sc,
LtnSmA.sc,a.sc,41000.1,41000.1,smcp,smcp,,0061,0061,,a.sc,
CySmA.sc,uni0430.sc,41000.15,41000.15,smcp,smcp,,0430,0430,,a-cy.sc,
LtnSmAAcute.sc,aacute.sc,41000.311,41000.311,smcp,smcp,,00E1,00E1,,aacute.sc,
LtnSmAGrave.sc,agrave.sc,41000.313,41000.313,smcp,smcp,,00E0,00E0,,agrave.sc,
LtnSmADblGrave.sc,uni0201.sc,41000.314,41000.314,smcp,smcp,,0201,0201,,adblgrave.sc,
LtnSmACircum.sc,acircumflex.sc,41000.32,41000.32,smcp,smcp,,00E2,00E2,,acircumflex.sc,
LtnSmACircumDotBlw.sc,uni1EAD.sc,41000.321,41000.321,smcp,smcp,,1EAD,1EAD,,acircumflexdotbelow.sc,
LtnSmACircumAcute.sc,uni1EA5.sc,41000.32311,41000.32311,smcp,smcp,,1EA5,1EA5,,acircumflexacute.sc,
LtnSmACircumAcute.VN.sc,uni1EA5.VN.sc,41000.32311,41000.32311,smcp,smcp,,1EA5,1EA5,,acircumflexacute.VN.sc,
LtnSmACircumGrave.sc,uni1EA7.sc,41000.32313,41000.32313,smcp,smcp,,1EA7,1EA7,,acircumflexgrave.sc,
LtnSmACircumGrave.VN.sc,uni1EA7.VN.sc,41000.32313,41000.32313,smcp,smcp,,1EA7,1EA7,,acircumflexgrave.VN.sc,
LtnSmACircumTilde.sc,uni1EAB.sc,41000.3234,41000.3234,smcp,smcp,,1EAB,1EAB,,acircumflextilde.sc,
LtnSmACircumTilde.VN.sc,uni1EAB.VN.sc,41000.32341,41000.32341,smcp,smcp,,1EAB,1EAB,,acircumflextilde.VN.sc,
LtnSmACircumHookAbv.sc,uni1EA9.sc,41000.3238,41000.3238,smcp,smcp,,1EA9,1EA9,,acircumflexhookabove.sc,
LtnSmACircumHookAbv.VN.sc,uni1EA9.VN.sc,41000.32381,41000.32381,smcp,smcp,,1EA9,1EA9,,acircumflexhookabove.VN.sc,
LtnSmABreve.sc,abreve.sc,41000.332,41000.332,smcp,smcp,,0103,0103,,abreve.sc,
